id,geo_lat,geo_lon,lat,long,crash_count
183,39.769284389472524,-105.0252763688273,39.769284389472524,-105.0252763688273,130
184,39.76836932866761,-105.02527880675322,39.76836932866761,-105.02527880675322,2
185,39.76803758664244,-105.02524756851683,39.76803758664244,-105.02524756851683,1
186,39.76683827974178,-105.02524890019208,39.76683827974178,-105.02524890019208,0
187,39.76650257311227,-105.025249971051,39.76650257311227,-105.025249971051,0
188,39.765603477199015,-105.02524753439226,39.765603477199015,-105.02524753439226,34
189,39.76466269463694,-105.02524685635834,39.76466269463694,-105.02524685635834,12
190,39.76325892176075,-105.0252449760129,39.76325892176075,-105.0252449760129,28
191,39.7620103056824,-105.02524970624947,39.7620103056824,-105.02524970624947,80
192,39.7602417642918,-105.02522282914947,39.7602417642918,-105.02522282914947,86
193,39.78562352382935,-105.01585857859722,39.78562352382935,-105.01585857859722,3
194,39.78328474781535,-105.0158450139986,39.78328474781535,-105.0158450139986,2
195,39.782559592462285,-105.01584760749466,39.782559592462285,-105.01584760749466,0
196,39.78199250501296,-105.01584105987874,39.78199250501296,-105.01584105987874,0
197,39.78135640489605,-105.01584606225008,39.78135640489605,-105.01584606225008,0
198,39.78020444113949,-105.01585352072853,39.78020444113949,-105.01585352072853,8
199,39.778974127241,-105.01586322925786,39.778974127241,-105.01586322925786,3
200,39.77777164999193,-105.0158698489505,39.77777164999193,-105.0158698489505,4
201,39.77534637960975,-105.01589134299343,39.77534637960975,-105.01589134299343,2
202,39.77413017076778,-105.01590027948536,39.77413017076778,-105.01590027948536,10
203,39.772931392088914,-105.01589374356854,39.772931392088914,-105.01589374356854,6
204,39.77172700403608,-105.01589683432297,39.77172700403608,-105.01589683432297,4
205,39.770521616563165,-105.01588238940373,39.770521616563165,-105.01588238940373,8
206,39.76928711062639,-105.01588637933341,39.76928711062639,-105.01588637933341,56
207,39.76806454826839,-105.01587168556215,39.76806454826839,-105.01587168556215,9
208,39.76685629700473,-105.01587540157458,39.76685629700473,-105.01587540157458,0
209,39.7656432301861,-105.015881167812,39.7656432301861,-105.015881167812,7
210,39.76443462642701,-105.01587013212834,39.76443462642701,-105.01587013212834,10
211,39.76322387941316,-105.01586869968705,39.76322387941316,-105.01586869968705,18
212,39.762024797001594,-105.01585394753714,39.762024797001594,-105.01585394753714,28
213,39.760869249097425,-105.01585496277892,39.760869249097425,-105.01585496277892,10
214,39.760204585824525,-105.01585591181292,39.760204585824525,-105.01585591181292,0
215,39.758958289475686,-105.01588032883348,39.758958289475686,-105.01588032883348,1
216,39.78554301493439,-105.0112125371891,39.78554301493439,-105.0112125371891,1
217,39.783255246910066,-105.01115129760696,39.783255246910066,-105.01115129760696,1
218,39.78256500297324,-105.01115375094219,39.78256500297324,-105.01115375094219,2
219,39.781359337891644,-105.01115647345017,39.781359337891644,-105.01115647345017,0
220,39.77940094567678,-105.01114748873825,39.77940094567678,-105.01114748873825,0
221,39.77896816022616,-105.01115092003946,39.77896816022616,-105.01115092003946,2
222,39.77775537409778,-105.01116711769856,39.77775537409778,-105.01116711769856,2
223,39.77534761177024,-105.0112375979903,39.77534761177024,-105.0112375979903,0
224,39.77413474557024,-105.01123601341504,39.77413474557024,-105.01123601341504,4
